dt,block_hash,block_interval,pending_tx_count,day_tx_count,avg_tx_per_block,hashrate,block_height
"2021-11-29 20:26:15",00000000000000000004efe8bb822e4abb767a9b14f682f5a46f9a67f4162d57,591.3056030273,2026,308049,970.5050048828,711884,2147483647
"2021-11-29 20:30:47",0000000000000000000096213b6ca01acb148f070b72730bdf1b88b41c531f6d,593.0759277344,1553,310705,970.5073852539,711885,2147483647
"2021-11-29 20:46:12",0000000000000000000a0e01e71b9332265f347225c4e623668a6308df7b96b7,587.7500000000,2248,305989,970.5072021484,711886,2147483647
"2021-11-29 20:53:01",000000000000000000053ec24b34f472440d1f603affd30d04b9675d4e506217,590.0759277344,2248,308499,970.5093994141,711887,2147483647
"2021-11-29 20:57:03",0000000000000000000071f4908b1b417df8c9b4eb0a4b9c4335f09dba2352ef,590.0759277344,1462,308499,970.5093994141,711888,2147483647
"2021-11-29 21:11:12",00000000000000000007f75faee9b7dad2623d45ace29b6cc613e9ca288de230,590.9306030273,1462,305670,970.5093994141,711889,2147483647
"2021-11-29 21:15:11",000000000000000000061449f5911d01ee66b046d13f8e40e57190565dafa7e4,590.9306030273,1239,305670,970.5093994141,711890,2147483647
"2021-11-29 21:25:09",000000000000000000054cb673270f85000b257480bdfea2eb285d0fc7716144,589.9931030273,1239,307302,970.5106201172,711891,2147483647
"2021-11-29 21:44:57",00000000000000000002c7394dd53e4c33fdfddf7c42b242c96e100cf2fce236,574.6350708008,643,307434,970.5073852539,711897,2147483647
"2021-11-29 22:10:51",0000000000000000000b80932afb66c86930464a724e6f7b2bcd709ea533e5c1,572.2752075195,643,308493,970.5081787109,711900,2147483647
"2021-11-29 22:31:43",00000000000000000001a9fb0692bc811ac0ff0b19f4d514cbc15616cc665d3d,568.3200073242,1181,307910,970.5072021484,711903,2147483647
"2021-11-29 22:51:23",00000000000000000007ee5582d4fff08e51125480663feda8e5679e5470c859,574.0816040039,2405,307474,970.5084838867,711905,2147483647
"2021-11-29 23:02:13",0000000000000000000b38155ab85877e3354d1bfa2453c5b6a60dc8a5da9752,575.0338134766,910,309160,970.5095214844,711906,2147483647
"2021-11-29 23:03:07",0000000000000000000478096a5a8078270cae2bd3735a1603e0260991e651c8,575.0338134766,910,309160,970.5095214844,711907,2147483647
"2021-11-29 23:15:56",0000000000000000000b9a1fd04d72dc35b011f77966e6ee35b85dd80a41f9d2,574.0670776367,603,308577,970.5089721680,711908,2147483647
"2021-11-29 23:38:23",000000000000000000072c98ca205e5d6d16e1bc13e77f4285cb66628f9e7f93,574.0742797852,979,307637,970.5100708008,711909,2147483647
"2021-11-29 23:40:26",0000000000000000000addcff1bd1457a3899ae1d3f24193bd55e5067d0fa221,575.5374145508,974,306982,970.5100708008,711910,2147483647
"2021-11-29 23:56:22",00000000000000000009c379ce2fb7e65d67d6e17b78e7ac32122c64a37fdabe,566.6599121094,1107,309540,970.5122070312,711911,2147483647
"2021-11-30 00:00:28",00000000000000000001b4fffc7d410e57e09dfadf7236772ce660dfc2e4200b,566.6599121094,1107,308112,970.5122070312,711912,2147483647
"2021-11-30 00:05:56",000000000000000000096ceb911a6669c61578fc50f6a44c367076c540392d87,566.6599121094,1107,308112,970.5122070312,711913,2147483647
"2021-11-30 00:15:44",0000000000000000000bd78842f29280435da1765959e81eee7b0ee7b9998dae,565.5266723633,2140,311741,970.5131835938,711914,2147483647
"2021-11-30 00:17:09",0000000000000000000728ad7a17cd84fe5d91e7bf80995cfd42fb9377b86ab9,565.5266723633,2140,311741,970.5131835938,711915,2147483647
"2021-11-30 00:39:50",00000000000000000003e1867fbd689495ffa846a04805493b7eca06b7f37ac2,565.5866699219,567,308300,970.5126953125,711916,2147483647
"2021-11-30 00:56:54",00000000000000000004abcc85345645d519bb4fdc487c1d8a4d4b73300916b2,575.6757202148,880,308096,970.5155029297,711917,2147483647
"2021-11-30 01:02:09",00000000000000000004dba5c841750d233bbe3fa90a3517933ae65c9868190d,578.9594726562,880,310142,970.5178833008,711918,2147483647
