dt,block_hash,block_interval,pending_tx_count,day_tx_count,avg_tx_per_block,hashrate,block_height
"2021-12-01 13:51:01",00000000000000000004b1936d24b1e3f06d611dd9a725995cedc76383b3dc9d,637.9393920898,22993,282366,970.8779907227,712121,2147483647
"2021-12-01 13:27:00",000000000000000000001d9e9e2f61d07c2ee0cc2dc4cd9e9e36b5d212975a02,645.1741943359,27428,282970,970.8734741211,712120,2147483647
"2021-12-01 13:26:44",0000000000000000000c0f2ac33b50bd9ad76012dd6cca087e441878ff4c4e89,641.1954956055,27428,285545,970.8734741211,712119,2147483647
"2021-12-01 13:08:27",00000000000000000001ad968906ebdefceb4c14dbab7f5639cc024690d881f8,639.7014770508,28129,289008,970.8723754883,712118,2147483647
"2021-12-01 13:05:04",0000000000000000000993016dd32cb87b5cfe4de4e0a7ebbdfb5ffcc4880018,639.1641845703,28129,292108,970.8698730469,712117,2147483647
"2021-12-01 12:59:19",000000000000000000095c71c94001a0b819772a54e596b6bcdd1c6b90d998ac,639.1641845703,28129,292108,970.8698730469,712116,2147483647
"2021-12-01 12:54:09",00000000000000000005eed0bfe72e448c0a8ece84256c94f9314f79a43b01af,648.4121704102,24026,284224,970.8629150391,712115,2147483647
"2021-12-01 12:52:59",00000000000000000007babf9986d28f7c00a5234fbda60502be3a0e254b63de,648.4121704102,28669,284224,970.8629150391,712114,2147483647
"2021-12-01 12:49:03",00000000000000000007cfc21e35b9327f0c2d2c8b2bfda789c5b5b7397f417e,648.4121704102,28828,284224,970.8629150391,712113,2147483647
"2021-12-01 12:42:23",0000000000000000000a1ec5d8931dd04561ee8d0cef946930411dcf01271d8d,653.6182861328,28828,285420,970.8610839844,712112,2147483647
"2021-12-01 12:31:16",0000000000000000000c1349d81b5a687a93362d3073aa1835d540b8aa1c6fb3,643.7307739258,28828,282263,970.8579711914,712111,2147483647
"2021-12-01 11:58:57",0000000000000000000383ccc5c270ca3e99a6a31e03b788b247c8dcaa3936fe,665.1704711914,27599,279492,970.8493041992,712110,2147483647
"2021-12-01 11:54:22",000000000000000000011e0837fbac13ea24905b41b97782e21e385c6254201f,660.7000122070,27893,282615,970.8493041992,712109,2147483647
"2021-12-01 11:38:27",0000000000000000000b5361ca7e6551a62a5aedf65d0d7df86a23ca6ed5d976,657.6016235352,22859,276814,970.8438720703,712106,2147483647
"2021-12-01 11:21:24",00000000000000000002c83486dc723fb6ff763f7d44994f4107b883a7965ecc,661.1890258789,22859,274344,970.8417968750,712105,2147483647
"2021-12-01 11:18:02",00000000000000000008944989e0acf852e2ae153427ae137d15300cce98416d,659.9528198242,22859,273493,970.8380737305,712104,2147483647
"2021-12-01 10:37:59",0000000000000000000b696a0068518ffddcb425d1700505724525b2eac3e32c,653.7385253906,20976,280907,970.8358154297,712103,2147483647
"2021-12-01 10:28:06",000000000000000000014db9237611c92c4e83873740c401a6917e53fc64034a,642.8712158203,20976,286334,970.8302001953,712102,2147483647
"2021-12-01 10:05:04",000000000000000000075337dc32dd92b05e9998fb11726589d369c5b35050f4,642.3233032227,21367,289054,970.8278198242,712100,2147483647
"2021-12-01 09:54:57",0000000000000000000a3e3863ac7094a2eea6093605ef370d9da3ce9b602db3,652.9307861328,18744,283629,970.8242797852,712099,2147483647
"2021-12-01 09:51:49",0000000000000000000b0349af06670b7894decf7f85cb5ec364875d47695416,652.9307861328,18744,283629,970.8242797852,712097,2147483647
"2021-12-01 09:45:49",0000000000000000000a1609b3886a70ae7601761a923b078a8930b699c96d16,650.9296875000,18744,281255,970.8186035156,712096,2147483647
"2021-12-01 09:44:01",0000000000000000000486f2969655e5ba1156e58cc7a6d2ce20ef6a1f63e961,657.4418945312,18744,281255,970.8186035156,712095,2147483647
"2021-12-01 09:19:47",000000000000000000021565be51cacc8f54d5d830fc6ecf950b981959f5796c,645.7077026367,16901,285656,970.8165893555,712094,2147483647
"2021-12-01 08:58:27",00000000000000000007a5ea85a6efac5c8c77e50c2fb76afc583e406be3aa66,647.6666870117,16214,282725,970.8139038086,712093,2147483647
"2021-12-01 08:51:54",0000000000000000000931dcb1cb22792c0c5a17904b4400805906ad4979afeb,658.6976928711,16376,282977,970.8120727539,712092,2147483647
"2021-12-01 08:30:44",0000000000000000000bdbeaf4e7dac92593c6d6d216d97a9eb1809bc1335a75,658.4884033203,15858,282774,970.8095092773,712091,2147483647
"2021-12-01 08:16:26",00000000000000000000f71625afb0e34eaa79bb976a3cb6305128b78b7dd677,658.3538208008,15231,286101,970.8081054688,712090,2147483647
"2021-12-01 08:11:53",00000000000000000002a63f1ff7bcb3e96ca86f346c0156e301997fd15940c1,658.3538208008,17454,282956,970.8081054688,712089,2147483647
"2021-12-01 07:50:03",00000000000000000009b573c3b96d99567e5b01140adc0e2f40905bf14447a0,649.4091186523,15685,284672,970.8035888672,712087,2147483647
"2021-12-01 07:39:23",00000000000000000001e72c4a59618c2e45a0778ad83484beedd19b266551ba,647.1654052734,12591,289386,970.8041992188,712086,2147483647
"2021-12-01 07:36:48",00000000000000000002843dcc42d053f75ba3e5f1952b9c152e958d457a9a40,649.4885253906,12591,284889,970.8005981445,712085,2147483647
"2021-12-01 07:34:36",000000000000000000090e16641d0ae4d6ce17d49e1963bd377b43e0f532a95d,649.4885253906,12591,284889,970.8005981445,712084,2147483647
"2021-12-01 07:20:18",00000000000000000000bfdd23cae4998115eea35531e78cead7c95b89befe05,639.5227050781,12591,285141,970.7971801758,712083,2147483647
"2021-12-01 06:51:18",0000000000000000000b5853400daa2dc21cc164d8ca4d2ea3db42aa09e44f61,644.5413818359,17667,291865,970.7977294922,712082,2147483647
"2021-12-01 06:45:16",000000000000000000039ec5c9e9e203349c607a9f9db17b2b1d7a1d86ed9b40,644.5413818359,17667,291865,970.7977294922,712081,2147483647
"2021-12-01 06:42:56",00000000000000000001e1a29bce3a7bb5917a1dae825268746418dee765ca11,654.7307739258,17667,289904,970.7990722656,712080,2147483647
