dt,open,high,low,close,volume
"2021-12-01 20:54:00",57105.8203125000,57131.3906250000,57081.3085937500,57131.3593750000,22.2706203461
"2021-12-01 20:53:00",57156.4687500000,57156.4687500000,57100.0000000000,57105.8203125000,30.9586906433
"2021-12-01 20:52:00",57168.6992187500,57168.6992187500,57119.1601562500,57156.4609375000,12.8238801956
"2021-12-01 20:51:00",57115.7890625000,57176.7812500000,57115.7890625000,57168.6914062500,14.6344299316
"2021-12-01 20:50:00",57118.3007812500,57145.8710937500,57112.8398437500,57115.0390625000,14.5810804367
"2021-12-01 20:49:00",57113.3710937500,57145.6484375000,57110.5312500000,57118.7500000000,17.6150493622
"2021-12-01 20:48:00",57104.7890625000,57135.4609375000,57094.1210937500,57113.3710937500,11.5360097885
"2021-12-01 20:47:00",57092.8515625000,57127.5898437500,57086.8281250000,57104.7890625000,26.5326690674
"2021-12-01 20:46:00",57124.8789062500,57124.8906250000,57068.1210937500,57086.8593750000,17.5067691803
"2021-12-01 20:45:00",57153.0703125000,57200.3203125000,57124.8789062500,57124.8789062500,20.7804698944
"2021-12-01 20:44:00",57173.0117187500,57200.0000000000,57123.2890625000,57153.0585937500,26.0945205688
"2021-12-01 20:43:00",57164.2812500000,57179.9882812500,57151.4882812500,57173.0117187500,18.3622207642
"2021-12-01 20:42:00",57164.5585937500,57178.8710937500,57150.0000000000,57164.6718750000,23.1572799683
"2021-12-01 20:41:00",57111.8515625000,57180.2304687500,57109.1406250000,57161.0000000000,19.1856002808
"2021-12-01 20:40:00",57123.3515625000,57148.8789062500,57101.4101562500,57109.0000000000,14.0461597443
"2021-12-01 20:39:00",57099.9687500000,57123.3515625000,57078.5898437500,57120.0000000000,19.8387107849
"2021-12-01 20:38:00",57140.0117187500,57162.8789062500,57099.9609375000,57100.0000000000,18.2658405304
"2021-12-01 20:37:00",57157.9414062500,57184.3906250000,57140.0117187500,57140.0117187500,16.7691402435
"2021-12-01 20:36:00",57187.3984375000,57228.9804687500,57137.1484375000,57157.9414062500,40.4647293091
"2021-12-01 20:35:00",57195.6718750000,57216.4804687500,57160.8984375000,57188.6406250000,21.5949592590
"2021-12-01 20:34:00",57233.4218750000,57233.4296875000,57178.4101562500,57191.2382812500,20.9415607452
"2021-12-01 20:33:00",57317.6914062500,57333.6718750000,57222.0703125000,57238.8984375000,17.8779506683
"2021-12-01 20:32:00",57233.6796875000,57348.0898437500,57214.0117187500,57317.6796875000,36.5660896301
"2021-12-01 20:31:00",57295.4609375000,57375.4687500000,57239.4414062500,57239.4414062500,44.8289489746
"2021-12-01 20:30:00",57314.9804687500,57360.8789062500,57296.7812500000,57296.8398437500,41.5517692566
"2021-12-01 20:29:00",57215.2695312500,57315.0000000000,57182.3398437500,57308.0117187500,62.0850486755
"2021-12-01 20:28:00",57176.1601562500,57236.9687500000,57176.1601562500,57215.2617187500,23.4241008759
"2021-12-01 20:27:00",57117.3710937500,57180.0000000000,57101.1992187500,57176.1718750000,16.5280208588
"2021-12-01 20:26:00",56955.8007812500,57144.3085937500,56955.7890625000,57121.0703125000,64.5783615112
"2021-12-01 20:25:00",56977.4882812500,56978.1210937500,56928.1914062500,56955.8007812500,10.8905096054
"2021-12-01 20:24:00",56983.7500000000,56983.7500000000,56941.9804687500,56963.3085937500,9.7774400711
"2021-12-01 20:23:00",56977.5703125000,57017.8984375000,56969.3906250000,56983.7382812500,22.3496494293
"2021-12-01 20:22:00",57013.9882812500,57038.6914062500,56958.2382812500,56983.1210937500,21.9086208344
"2021-12-01 20:21:00",57040.8515625000,57050.0000000000,56993.0585937500,57013.9804687500,27.7633705139
"2021-12-01 20:20:00",57029.7304687500,57048.6914062500,57002.9804687500,57041.1289062500,13.6449098587
"2021-12-01 20:19:00",57028.0390625000,57041.7304687500,57000.0000000000,57029.7304687500,14.7474203110
"2021-12-01 20:18:00",56975.6210937500,57028.0507812500,56969.8984375000,57028.0390625000,9.6666603088
"2021-12-01 20:17:00",56975.6210937500,56975.6210937500,56969.8984375000,56975.6210937500,0.0310900006
"2021-12-01 20:16:00",57055.7382812500,57063.7304687500,56965.2304687500,56977.9609375000,12.0508098602
"2021-12-01 20:15:00",57018.3085937500,57058.9492187500,57005.8281250000,57055.7304687500,12.0112800598
"2021-12-01 20:14:00",56993.5898437500,57033.3203125000,56972.4218750000,57028.4804687500,15.0904798508
"2021-12-01 20:13:00",57043.8007812500,57066.5781250000,56986.0117187500,56993.6015625000,8.8997097015
"2021-12-01 20:12:00",56998.7500000000,57073.5585937500,56998.7500000000,57048.9414062500,33.5279884338
"2021-12-01 20:11:00",56903.4296875000,57049.8710937500,56903.4296875000,56998.7617187500,49.7804489136
"2021-12-01 20:10:00",56890.0000000000,56916.0195312500,56880.0000000000,56903.4414062500,11.6547403336
"2021-12-01 20:09:00",56820.5312500000,56894.8398437500,56780.0000000000,56890.0117187500,17.4303398132
